date,open,high,low,close,volume,symbol
2023-07-21,473.56170654296875,479.242919921875,468.9397277832031,472.26177978515625,14510084,ITC
2023-07-24,475.1505126953125,481.16876220703125,450.78875732421875,453.8700866699219,40477929,ITC
2023-07-25,450.54803466796875,451.12579345703125,438.5115966796875,445.1557312011719,45211370,ITC
2023-07-26,447.6593017578125,455.45892333984375,444.91497802734375,454.7367248535156,18842179,ITC
2023-07-27,456.8070068359375,457.5291748046875,444.0002136230469,447.8037414550781,14528232,ITC
2023-07-28,450.35546875,452.0405578613281,446.2149353027344,451.07763671875,10362522,ITC
2023-07-31,451.60723876953125,452.2812805175781,446.31121826171875,448.42962646484375,8510403,ITC
2023-08-01,448.718505859375,451.4627990722656,446.60009765625,447.5630187988281,6686176,ITC
2023-08-02,447.37042236328125,447.5630187988281,441.0151672363281,443.03729248046875,10715605,ITC
2023-08-03,443.03729248046875,446.55194091796875,437.452392578125,439.13751220703125,11026824,ITC
2023-08-04,439.37823486328125,444.2890930175781,437.40423583984375,438.0782775878906,7097614,ITC
2023-08-07,437.25982666015625,439.61895751953125,434.22662353515625,438.0301513671875,9513953,ITC
2023-08-08,440.0522766113281,440.0522766113281,434.3229064941406,435.57470703125,6638681,ITC
2023-08-09,435.57470703125,442.8447265625,430.3268127441406,441.6410827636719,10134166,ITC
2023-08-10,441.8818054199219,442.2669677734375,432.34893798828125,434.9969482421875,13702317,ITC
2023-08-11,437.0672302246094,437.0672302246094,428.2565612792969,432.10821533203125,12028396,ITC
2023-08-14,432.10821533203125,434.5155029296875,428.5454406738281,432.5415344238281,7854074,ITC
2023-08-16,434.2747802734375,440.43743896484375,431.57861328125,433.5525817871094,15494896,ITC
2023-08-17,433.3118591308594,433.3118591308594,423.6827087402344,424.6456298828125,16896158,ITC
2023-08-18,424.6456298828125,426.9084777832031,422.23834228515625,425.2715148925781,20068497,ITC
2023-08-21,425.6085510253906,431.86749267578125,424.9826354980469,431.1934509277344,9940689,ITC
2023-08-22,432.34893798828125,438.2708740234375,430.4231262207031,437.40423583984375,10234488,ITC
2023-08-23,438.7041931152344,438.7523193359375,431.9637756347656,433.74517822265625,8770272,ITC
2023-08-24,433.8896179199219,436.68206787109375,432.6378173828125,434.1784973144531,6322751,ITC
2023-08-25,434.1784973144531,434.2747802734375,425.65667724609375,426.9084777832031,9628041,ITC
2023-08-28,428.4972839355469,430.2786865234375,424.6456298828125,425.0307922363281,7176903,ITC
2023-08-29,426.5233154296875,427.53436279296875,422.9123840332031,423.77899169921875,9845106,ITC
2023-08-30,424.6456298828125,427.53436279296875,424.1641540527344,426.3788757324219,7648569,ITC
2023-08-31,426.5714416503906,428.4010009765625,419.9273376464844,423.3938293457031,20666732,ITC
2023-09-01,423.6827087402344,428.4972839355469,422.0457458496094,424.6937561035156,11879159,ITC
2023-09-04,426.9084777832031,426.9084777832031,420.4569396972656,421.2754211425781,14128562,ITC
2023-09-05,422.6235046386719,428.0158386230469,422.23834228515625,426.6677551269531,8701612,ITC
2023-09-06,427.4862365722656,431.86749267578125,425.6085510253906,430.8564147949219,13358433,ITC
2023-09-07,432.1563720703125,432.34893798828125,428.11212158203125,429.3639221191406,8401953,ITC
2023-09-08,431.28973388671875,431.28973388671875,425.464111328125,426.23443603515625,10322317,ITC
2023-09-11,429.460205078125,431.4823303222656,426.23443603515625,430.6156921386719,9679540,ITC
2023-09-12,432.2526550292969,437.452392578125,429.0750427246094,434.4192199707031,14961276,ITC
2023-09-13,435.4302673339844,440.0522766113281,434.3710632324219,436.68206787109375,12268130,ITC
2023-09-14,438.9930725097656,438.9930725097656,430.56756591796875,433.2637023925781,14986708,ITC
2023-09-15,431.4341735839844,435.333984375,430.4231262207031,431.7230529785156,15657801,ITC
2023-09-18,431.7230529785156,437.16351318359375,429.65277099609375,435.28582763671875,8513132,ITC
2023-09-20,434.9488220214844,438.22271728515625,432.8785400390625,436.1524658203125,10343224,ITC
2023-09-21,436.0080261230469,436.7301940917969,428.0158386230469,430.9045715332031,11132308,ITC
2023-09-22,430.9045715332031,431.7712097167969,425.8492736816406,426.6677551269531,7795399,ITC
2023-09-25,426.6677551269531,428.3046875,422.0939025878906,426.186279296875,6005673,ITC
2023-09-26,427.1492004394531,428.0158386230469,423.3938293457031,426.0418395996094,5533023,ITC
2023-09-27,426.0418395996094,433.1192626953125,422.5272216796875,432.4933776855469,10894817,ITC
2023-09-28,433.2637023925781,433.2637023925781,423.29754638671875,424.4049072265625,10610213,ITC
2023-09-29,425.6085510253906,429.0750427246094,422.9123840332031,427.9195251464844,8474326,ITC
2023-10-03,424.6456298828125,426.47515869140625,422.96051025390625,423.4419860839844,7770032,ITC
2023-10-04,423.4419860839844,425.3196716308594,417.2311706542969,419.9273376464844,13912656,ITC
2023-10-05,423.6827087402344,424.1641540527344,418.9162902832031,419.8791809082031,10416552,ITC
2023-10-06,421.6124267578125,427.1492004394531,420.4569396972656,425.7529602050781,8742804,ITC
2023-10-09,424.59747314453125,426.7640380859375,421.0346984863281,424.11602783203125,5827256,ITC
2023-10-10,424.11602783203125,428.35284423828125,424.11602783203125,427.9195251464844,5207891,ITC
2023-10-11,430.6156921386719,432.7822570800781,428.3046875,431.62677001953125,7946195,ITC
2023-10-12,432.974853515625,435.7191467285156,429.6046447753906,433.98590087890625,12227957,ITC
2023-10-13,433.16741943359375,435.04510498046875,430.4231262207031,431.7230529785156,7926432,ITC
2023-10-16,431.3860168457031,434.2747802734375,429.65277099609375,432.3008117675781,4377288,ITC
2023-10-17,433.1192626953125,437.6449890136719,432.34893798828125,436.6339111328125,7203352,ITC
2023-10-18,437.40423583984375,441.207763671875,434.2747802734375,434.9006652832031,7160492,ITC
2023-10-19,433.0711364746094,438.0301513671875,430.2786865234375,433.697021484375,9830006,ITC
2023-10-20,428.4972839355469,432.34893798828125,421.1309814453125,422.0457458496094,13521824,ITC
2023-10-23,421.7568664550781,423.6345520019531,417.0386047363281,419.7347412109375,7555671,ITC
2023-10-25,420.6976623535156,421.7568664550781,411.21295166015625,416.6534118652344,11308597,ITC
2023-10-26,413.6202392578125,420.4087829589844,413.6202392578125,418.24224853515625,19525305,ITC
2023-10-27,418.24224853515625,420.60137939453125,416.1719665527344,417.66448974609375,13638258,ITC
2023-10-30,418.434814453125,420.9383850097656,412.4647521972656,414.48687744140625,7911426,ITC
2023-10-31,414.0535583496094,417.2793273925781,412.03143310546875,412.51287841796875,8952141,ITC
2023-11-01,414.0535583496094,415.1127624511719,409.7204284667969,412.2240295410156,8297973,ITC
2023-11-02,414.1017150878906,416.6534118652344,412.7536315917969,415.1609191894531,8465990,ITC
2023-11-03,416.7497253417969,418.2903747558594,415.1127624511719,417.1830139160156,14334179,ITC
2023-11-06,417.42376708984375,420.60137939453125,416.5090026855469,419.20513916015625,7589690,ITC
2023-11-07,418.7718505859375,418.7718505859375,416.1238098144531,416.6534118652344,5321353,ITC
2023-11-08,417.08673095703125,421.2754211425781,416.26824951171875,420.7458190917969,7248663,ITC
2023-11-09,421.5643005371094,421.7568664550781,417.8089294433594,418.2903747558594,8085620,ITC
2023-11-10,418.2903747558594,421.7568664550781,416.4608459472656,420.36065673828125,4236307,ITC
2023-11-13,422.14202880859375,422.14202880859375,418.8681335449219,419.8310546875,3888975,ITC
2023-11-15,421.8531799316406,426.0899963378906,421.2754211425781,425.5603942871094,7722827,ITC
2023-11-16,425.5603942871094,428.0158386230469,421.3717041015625,422.3827819824219,11276031,ITC
2023-11-17,422.96051025390625,425.1270751953125,422.0457458496094,422.96051025390625,6911592,ITC
2023-11-20,423.53826904296875,423.9715881347656,418.3866882324219,420.60137939453125,4502356,ITC
2023-11-21,420.9383850097656,423.0086669921875,419.3495788574219,420.07177734375,6228803,ITC
2023-11-22,420.7939758300781,424.06787109375,418.675537109375,423.3938293457031,5074887,ITC
2023-11-23,424.59747314453125,425.8492736816406,421.99761962890625,424.01971435546875,6611803,ITC
2023-11-24,424.6456298828125,425.8492736816406,420.6495361328125,421.5643005371094,7084608,ITC
2023-11-28,421.7568664550781,422.71978759765625,418.7718505859375,419.1088562011719,9082513,ITC
2023-11-29,419.8310546875,422.23834228515625,418.0496520996094,420.9865417480469,14316126,ITC
2023-11-30,420.5050964355469,422.190185546875,418.3866882324219,419.6384582519531,15710110,ITC
2023-12-01,421.66058349609375,434.22662353515625,421.17913818359375,433.1192626953125,20081576,ITC
