date,open,high,low,close,volume,symbol
2023-07-21,1320.199951171875,1350.0,1305.0,1331.5999755859375,45548305,INFY
2023-07-24,1341.0,1349.9000244140625,1334.25,1336.5999755859375,8859789,INFY
2023-07-25,1337.0,1342.8499755859375,1324.25,1334.5999755859375,6801982,INFY
2023-07-26,1343.0,1350.0,1339.4000244140625,1348.8499755859375,5528885,INFY
2023-07-27,1358.5999755859375,1363.800048828125,1347.050048828125,1353.1500244140625,9191861,INFY
2023-07-28,1353.8499755859375,1363.8499755859375,1336.0,1340.5,6122735,INFY
2023-07-31,1348.75,1357.5,1333.25,1355.699951171875,7902180,INFY
2023-08-01,1362.0,1369.0,1357.0,1365.199951171875,6064652,INFY
2023-08-02,1369.300048828125,1371.949951171875,1348.449951171875,1356.8499755859375,7419145,INFY
2023-08-03,1350.0,1366.550048828125,1349.0,1364.300048828125,6503741,INFY
2023-08-04,1368.9000244140625,1385.9000244140625,1362.0,1378.3499755859375,5712345,INFY
2023-08-07,1387.9000244140625,1395.0,1377.0,1393.0,3729093,INFY
2023-08-08,1392.8499755859375,1393.550048828125,1384.4000244140625,1390.199951171875,4161877,INFY
2023-08-09,1384.0,1396.0,1382.5,1394.4000244140625,4090828,INFY
2023-08-10,1391.5999755859375,1395.800048828125,1385.5999755859375,1389.0999755859375,3873025,INFY
2023-08-11,1392.0,1396.8499755859375,1367.050048828125,1371.8499755859375,5783517,INFY
2023-08-14,1371.8499755859375,1395.0,1365.5999755859375,1393.550048828125,4304135,INFY
2023-08-16,1410.800048828125,1419.949951171875,1405.4000244140625,1418.5,7735313,INFY
2023-08-17,1420.0,1420.0,1406.0,1411.550048828125,5618346,INFY
2023-08-18,1403.699951171875,1408.699951171875,1386.1500244140625,1388.800048828125,5134103,INFY
2023-08-21,1389.75,1407.0,1387.1500244140625,1405.4000244140625,3032722,INFY
2023-08-22,1404.699951171875,1406.050048828125,1396.6500244140625,1403.75,2890714,INFY
2023-08-23,1416.0,1416.5999755859375,1405.6500244140625,1407.949951171875,2559125,INFY
2023-08-24,1421.5,1425.050048828125,1414.449951171875,1423.5999755859375,5171963,INFY
2023-08-25,1413.0,1422.5,1411.4000244140625,1420.0999755859375,4307172,INFY
2023-08-28,1420.0999755859375,1424.800048828125,1411.4000244140625,1415.6500244140625,3133464,INFY
2023-08-29,1424.0,1424.4000244140625,1415.300048828125,1417.6500244140625,3074444,INFY
2023-08-30,1427.0,1436.6500244140625,1424.0,1435.1500244140625,3070887,INFY
2023-08-31,1435.1500244140625,1444.9000244140625,1428.6500244140625,1435.449951171875,9792735,INFY
2023-09-01,1430.949951171875,1446.0,1428.199951171875,1443.8499755859375,3582133,INFY
2023-09-04,1443.0,1470.0,1434.699951171875,1465.0999755859375,4609014,INFY
2023-09-05,1465.0,1480.050048828125,1456.5,1478.9000244140625,5496840,INFY
2023-09-06,1481.9000244140625,1482.9000244140625,1463.300048828125,1477.449951171875,5075786,INFY
2023-09-07,1470.5999755859375,1473.4000244140625,1462.050048828125,1466.199951171875,4411743,INFY
2023-09-08,1463.5,1474.75,1460.199951171875,1469.5999755859375,3125838,INFY
2023-09-11,1469.5999755859375,1478.050048828125,1464.5,1476.449951171875,4182226,INFY
2023-09-12,1482.5,1504.0,1477.0999755859375,1501.0999755859375,6793161,INFY
2023-09-13,1505.0,1505.0,1488.6500244140625,1498.3499755859375,4804686,INFY
2023-09-14,1505.0,1512.550048828125,1499.1500244140625,1506.949951171875,6444213,INFY
